
1. <@292839877563908097> - 30 `(5%)`
2. <@500893937255448576> - 26 `(4%)`
3. <@762526280435367986> - 26 `(4%)`
4. <@825239682480078848> - 26 `(4%)`
5. <@771902354815582268> - 23 `(4%)`
6. <@766921324786089984> - 22 `(4%)`
7. <@697784435214516278> - 21 `(3%)`
8. <@218581855656607746> - 16 `(3%)`
9. <@724556775306559520> - 16 `(3%)`
10. <@912360164051517460> - 16 `(3%)`
11. <@301515967408635905> - 14 `(2%)`
12. <@516065444596154389> - 14 `(2%)`
13. <@819389319030636565> - 14 `(2%)`
14. <@953988485285576714> - 14 `(2%)`
15. <@605926200384159764> - 13 `(2%)`
16. <@930127584023433277> - 13 `(2%)`
17. <@824255163560755251> - 11 `(2%)`
18. <@403143112484061184> - 10 `(2%)`
19. <@465668805448957952> - 10 `(2%)`
20. <@481492488104968202> - 10 `(2%)`
21. <@625748186283114507> - 10 `(2%)`
22. <@795796269209616414> - 10 `(2%)`
23. <@821736604838002778> - 10 `(2%)`
24. <@869837616768503829> - 10 `(2%)`
25. <@690288947690995716> - 9 `(1%)`
26. <@695518297168281640> - 9 `(1%)`
27. <@715774830712193127> - 9 `(1%)`
28. <@212009331602882561> - 8 `(1%)`
29. <@420024269125189637> - 8 `(1%)`
30. <@698786655976423514> - 8 `(1%)`
31. <@863675264759627796> - 8 `(1%)`
32. <@253881449730670592> - 7 `(1%)`
33. <@585316506938638343> - 7 `(1%)`
34. <@751264206027882608> - 7 `(1%)`
35. <@830760713118023681> - 7 `(1%)`
36. <@906298252712882286> - 7 `(1%)`
37. <@713595876924457010> - 6 `(1%)`
38. <@714897491035947008> - 6 `(1%)`
39. <@785575054418771988> - 6 `(1%)`
40. <@819075615197233203> - 6 `(1%)`
41. <@844458414586724362> - 6 `(1%)`
42. <@852648731278442536> - 6 `(1%)`
43. <@895511335989821520> - 6 `(1%)`
44. <@285380402162434048> - 5 `(1%)`
45. <@746155509975089222> - 5 `(1%)`
46. <@840806424786239518> - 5 `(1%)`
47. <@716116223779405914> - 4 `(1%)`
48. <@775145885486678028> - 4 `(1%)`
49. <@776535948179406849> - 4 `(1%)`
50. <@308750093165658121> - 3 `(0%)`
51. <@569714402849456139> - 3 `(0%)`
52. <@786677258705567784> - 3 `(0%)`
53. <@800678639078998057> - 3 `(0%)`
54. <@860086745143443457> - 3 `(0%)`
55. <@930849128479608923> - 3 `(0%)`
56. <@125778685730095104> - 2 `(0%)`
57. <@625578863388393473> - 2 `(0%)`
58. <@674681208466309130> - 2 `(0%)`
59. <@685448321392705547> - 2 `(0%)`
60. <@718323132993110076> - 2 `(0%)`
61. <@735809847466917948> - 2 `(0%)`
62. <@757301448781594646> - 2 `(0%)`
63. <@776147923615612979> - 2 `(0%)`
64. <@787159484786933780> - 2 `(0%)`
65. <@836519845398970400> - 2 `(0%)`
66. <@857826149728387082> - 2 `(0%)`
67. <@884889034432868392> - 2 `(0%)`
68. <@897740441867411466> - 2 `(0%)`
69. <@236301202009227266> - 1 `(0%)`
70. <@269313733820547073> - 1 `(0%)`
71. <@309390733591183360> - 1 `(0%)`
72. <@421879480894881792> - 1 `(0%)`
73. <@507918436941430785> - 1 `(0%)`
74. <@518212782970109952> - 1 `(0%)`
75. <@555669522523357184> - 1 `(0%)`
76. <@577444133103206401> - 1 `(0%)`
77. <@615819001678790656> - 1 `(0%)`
78. <@635174584949407775> - 1 `(0%)`
79. <@637398646870245396> - 1 `(0%)`
80. <@644663482649673728> - 1 `(0%)`
81. <@675176223298682933> - 1 `(0%)`
82. <@708173299351420979> - 1 `(0%)`
83. <@753220106028580914> - 1 `(0%)`
84. <@756785171583467588> - 1 `(0%)`
85. <@765185064894988288> - 1 `(0%)`
86. <@773211460128997406> - 1 `(0%)`
87. <@826990744270667786> - 1 `(0%)`
88. <@840958618689601558> - 1 `(0%)`
89. <@848212522892001311> - 1 `(0%)`
90. <@867418299397701652> - 1 `(0%)`
