Member ID,Shack Name,Hourly Income,Shifts Worked,Weekly Shifts,Tips Collected,Total Donations,Happiness
779143066057179138,Karebears tacos,12080,6,0,5,0,0
779506612703985674,RoGamer10,14385,151,0,208,0,.5
780327786862346251,PROBOMBERS Shack,17470,78,72,121,150000,.75
780473773668827136,Buns and Beans,36365,1540,0,2589,16581000,0
784411217845813328,Turbo Tacos,24115,256,3,296,1240000,.75
785105951900172309,THE STICK SHACK,33775,114,8,131,223966,1
785575054418771988,TacoShell,43880,2273,73,2382,155613,1
789296622752235603,vanananananananana,42125,431,0,635,1090000,0
795062716191866950,taco bell,31880,1058,2,1213,0,1
795796269209616414,Charcoal Taco Shack,40315,2901,42,3137,6160000,1
795968489588260915,helo hru im unda da wota pls,33540,648,4,790,3620935,.75
799641623381934110,pwetiiecake,22910,138,0,155,700000,.5
800678639078998057,KerKerKer Airlines Restaurant,31690,2114,50,3226,2440100,1
809286402323513374,taco taco,17615,74,2,43,10010000,.75
813071181582041108,media Luna,29460,837,0,1440,2215000,0
819075615197233203,toxic sludge shed,30615,795,15,919,2890000,.75
819389319030636565,Ketchup in Another Life,48800,19273,121,31096,1210000000,1
823742159261794356,Plan B,22625,136,0,125,460000,.5
823813801480028180,kakka da dhabba,38390,204,7,276,1110509,.75
824255163560755251,Tacoess,43165,3048,29,5074,24832624,1
825128145182392370,my taco shack,29825,218,0,269,100000,.75
825239682480078848,TACOCAT,48650,17083,238,31717,810504962,1
826470700603670600,ummamande chayakada,36665,491,3,510,15060000,.75
826990744270667786,TACOYEAH,18435,319,103,427,320000,1
827133334764257320,grievous,25795,159,0,190,580000,.5
827929481854451793,mangekyo sharingan taco,24390,226,0,347,300000,.5
835073999050113065,shack taco,19440,151,0,217,0,0
835761549045137469,Calyplexx,47650,1362,9,2325,12437296,1
836519845398970400,Tabi,31660,421,20,504,1190000,1
836816493954072577,Nush,47200,2187,33,2938,101259012,1
840958618689601558,Tamecover,47100,758,1,881,67576394,.75
844458414586724362,Rangi,47450,4489,95,5827,561138771,1
845112388322590721,Day,14180,44,0,41,0,.5
846290383276212225,best tacos,38820,2073,0,3561,1513000,.75
848212522892001311,beYOUtiful,48050,3150,98,4662,38571000,1
848776612774281216,Deltaco,30865,235,0,361,850000,0
848869407295012875,Taco Central,39405,907,0,970,1930000,1
849571699723730964,TaKo KoKo,47250,4221,26,6689,266831320,1
852648731278442536,Taquitos e Burritos,46950,2559,36,2868,7781009,1
854249356587434024,Liezl,47140,1290,1,1812,3250000,.75
857826149728387082,Turtles Salad Warehouse,36630,1013,10,1080,3730000,.75
860086745143443457,U S S Samurai,47650,2492,42,3425,449546723,1
863675264759627796,Waifu Company,12295,17,7,12,0,1
867164827183743007,Anna,22830,800,25,1131,6210000,1
867418299397701652,otto,15895,155,2,174,0,.75
868672800158806058,Dzam Taco,26935,231,0,255,14110000,.75
869605072554836038,spanjolie,18310,51,0,56,300000,0
869837616768503829,Taco Bell,47650,5258,80,7848,144225956,1
870653627918864425,Tiki Taco,37605,1388,1,1882,34146000,.75
875752796673171477,Semkes Restoranas,32445,258,3,293,50180100,.75
877028638141333524,taco pros,12065,125,1,125,0,.5
877191322145022003,Never Gonna Give You Up,47400,5206,0,9105,363259310,0
879255458299383809,Bhavya Jain,32300,351,7,581,13000000,.75
880351718980849704,Mytacos,47400,1499,31,1741,32791763,1
880729807875346432,Taco Pit,17330,51,1,82,70000,1
881426276722802689,MLs restaurant,28435,231,1,303,22450000,.75
882163962458812446,Witch,36990,754,0,975,21883829,.5
883251197509795850,Taco Bell,23780,329,73,477,400000,.75
884107000282234890,Peralta,30450,708,11,839,1160000,1
884834980566560789,goodytacos,16615,121,0,143,150000,.75
884889034432868392,Krazy Tako,30300,278,5,350,5003146,1
885008343301750855,Supreme tacos,25850,122,0,153,1800000,.5
885011387842183219,Taqueria Gay,40535,914,7,1188,4485000,.75
891411179694600293,Paedro Tacos,30105,393,6,578,570000,1
891850766766178344,chlorisha lee,19215,78,38,96,311843,1
892785619074441216,619goose,11050,96,3,106,0,1
893230799338500096,kizasheeeessh,47400,2697,34,3159,6212107,1
895511335989821520,Shakey Shack Tacos,44710,1549,55,2213,13295000,1
895897586530127922,Suspended by School,31205,147,2,156,0,1
897740441867411466,Buritacolladaros,19220,115,55,122,110000,1
900178792918687754,SmolShack,23075,261,0,292,450000,.5
900290767787032576,anitacos,29500,184,25,264,16150100,.75
906298252712882286,an shack,25205,3630,103,4892,3154489,.75
910438087186841651,Turbo Subway,22465,118,0,141,903215,.5
910770870757232640,papas tacoria,31370,442,23,524,130000,1
911356279719624757,Takahsu,20200,125,0,135,0,.5
919834571514720286,Temmies Tasty Taco Town,26835,126,0,143,60000,.5
920117865095520357,woman molester,12935,24,0,25,0,.5
923487047476445226,onyanco,33590,148,0,159,414078,.75
928427560260489256,Honeylou taco shack,11900,26,0,24,0,0
930594254437371964,Sussy Taco,17000,30,30,30,100100,1
932939302168571934,missing taco,17860,62,0,78,160000,0
945848633536950345,COOLKAYTACOS,11050,19,2,19,15546255,1
947105703590518885,Cursed,13170,151,108,205,250000,1
953988485285576714,me nubb,31040,409,180,582,270000,1
958263538374311966,very random,17700,92,37,143,170000,.75
