Member ID,Shack Name,Hourly Income,Shifts Worked,Weekly Shifts,Tips Collected,Total Donations,Happiness
125778685730095104,Matt,16870,62,62,73,100000,1
191111252569751552,Ese Tacos,44045,415,0,515,2345000,0
201483795168362497,Tacos For Owls,21445,112,6,116,0,1
209733431301505024,The Mexican Wrap,32310,269,0,303,1060000,0
211985073107369994,RetiredParatrooper,23700,135,48,181,280000,1
253881449730670592,TakisTacosTT,23260,248,127,323,270000,1
292839877563908097,Top Tacos Throughout Ten Towns,48750,22615,400,38425,3600000000,1
298157762431680512,tacobout it,44415,777,6,944,4118000,.75
301515967408635905,Guac it,47050,4624,103,6287,165475000,1
308750093165658121,shack la experiencia mexicana,16910,82,73,110,250000,1
309390733591183360,ME VALE MADRE TAQUERIA,47205,495,2,440,210000,1
354245190476890113,steveharrington,10150,76,1,33,0,0
370995295565381652,The Strawberry Shack,24035,116,2,153,240000,.75
371261879680499734,Taco do Dialogo,14320,51,2,56,20000,.75
379781622704111626,Ink,20705,132,42,188,1388021,1
385230914873196554,TACO TUESDAYYYYYYYYYY,35100,244,0,269,690000,.5
420024269125189637,Lill Taco,47400,3279,34,3474,211585000,1
421879480894881792,atacolypse truck,21080,195,2,94,490000,1
426225563791917056,Captains Tacos,20380,200,13,205,1240000,1
431623457382334464,Hasta La Vista,41890,418,3,468,2490000,1
448464012582191125,bigdaddy shack,25305,79,0,95,1120000,.5
465668805448957952,CodeShack,41535,1111,46,1530,2815000,1
471638159227224074,Idiot Sandwich,36915,572,4,665,16797000,.75
481922844796649475,Troopers Tacos,18165,99,0,108,430000,0
483276385645756427,TacoBell,14130,20,0,34,50000,0
484206685347512321,TacoMania,46950,1535,0,1891,6570000,.5
490453235140788227,TacosDere,17210,46,0,59,490000,.75
493941319786299411,BugsLife4068,15045,19,0,23,0,0
502763338346921986,jombi taco,36290,456,1,508,1300000,.75
507887890026463232,FakeTaco,25630,126,2,126,1040000,1
507918436941430785,french tacos,39820,335,0,441,6500000,.5
516065444596154389,BigglesHouseOfTacos,41300,7900,199,11595,1305410018,1
518212782970109952,Cindy Tacos,47400,1394,5,1761,24043214,1
532744911326412820,Jacos Joint,41520,1250,2,1514,2550000,.5
542844120302092325,RedTheVisionary,21240,95,5,122,500000,.75
546170848357384223,Thousand Wishes Tacos,47400,2956,6,4821,6310000,.75
551960360576483329,miruru,40575,3085,0,4444,3809999,0
555669522523357184,WonderTacos,45100,1508,3,2518,3667808,.75
562285917050634241,oldemtacos,22485,215,0,241,490150,.5
567666614896558082,Yummy,20520,251,24,277,100000,1
569714402849456139,Tacos R Us,39630,1729,25,2017,0,.75
577444133103206401,Distorted Tacos,35835,564,4,657,101000000,.75
582217825872248848,tacos,46925,1031,3,1013,5000000,.75
582502975595872267,Got My SHACKles On,21040,73,17,94,290000,1
593735675979890698,Tacos 2Go,13460,255,0,362,13422000,.5
597673765811519489,NAFAFDADA,25975,115,1,165,25788574,0
598271677301915658,tAcO,30500,602,3,869,115371737,.75
600466417770561547,Japanese War Crime Simulator,22540,72,1,82,790000,.75
607328825352781837,angel,13360,21,0,23,60000,.75
615819001678790656,Trap Tacos,40105,877,4,1004,1620000,.75
637398646870245396,Vet Clinic,47150,681,4,834,4950000,.75
644663482649673728,Taco,36775,603,1,837,2682400,.5
645251419695218698,Jalapeno Shack,42110,957,1,1116,116035000,.75
648998447751626762,ganyu fan club,12425,62,0,66,13610000,0
653784462861271044,Loco for Taco,34890,2480,0,3401,5300000,.5
663216246535487493,Chirinis Taquitos,23790,134,0,182,300000,0
664422286765588521,free food,43630,546,21,634,0,1
669630829126877216,buceta california,44700,625,0,758,1540000,.75
670464544090619904,sheep wonderland,35810,1445,9,1547,1610099,.75
679281398279831582,El Midlands,24955,263,1,393,320000,.5
681247677673242673,Hooters,16460,115,21,143,107811,.75
681638096877649988,Carlitos Tacos,38255,371,1,423,200000000,1
685448321392705547,milk restaurant,17090,201,0,221,226000,.75
686325743491481715,Amigos Tacos,23995,267,34,326,250000,1
690219393585905685,Frenzy,14905,33,27,40,1000,1
690288947690995716,thicc tacos,47400,2547,32,2813,69620000,1
692394630699941919,Subway Sandwiches,22170,111,0,137,180000,0
695518297168281640,Tacoona Matata,48650,12452,138,20359,1329567890,.75
696433067077664821,bucket of chum,23290,142,0,125,270000,.5
696745853012017242,JoeLiewShack,48050,4143,40,4878,94900000,1
697784435214516278,John Astherson,47700,4625,136,6850,187068946,1
699027776744718367,Pog shack,33910,331,1,372,697969,.75
702190716989866095,Out of stock tacos,33825,762,0,1003,25924606,.75
704741165064257609,pizza,12235,6,0,3,0,0
704992155080327169,WE EAT CHILDREN,30400,448,0,581,220000,.5
708145069407862824,Raj Imperial Taco,35805,713,0,1030,1470000,0
708173299351420979,JJ Taco Shac,34050,1213,267,2060,20267295,1
713074263535517696,Joeseph Mother,21270,87,0,95,282913,0
713342804914602015,Kedai Limau Purut,44175,1922,4,2505,25097788,.75
713595876924457010,Yondu Taco,43100,1351,85,1536,12520000,1
714897491035947008,Meat Sweats,39870,269,3,309,2930000,1
715386433975746582,Drip,18440,109,0,121,19550000,.5
716057001226141766,bean tacos,22455,320,0,387,330000,0
718323132993110076,Yummy tacos,47250,4038,8,5311,246050000,1
724556775306559520,dTako,26875,274,119,350,250000,1
731242254059962368,Casa da Pilha,21465,60,0,63,51000,.5
735809847466917948,fat boizz,23605,275,1,372,420000,.75
736032304589439016,Dabelmint Taco,47050,1968,34,2282,2080000,1
741443711140888716,Uncle,27985,118,2,123,0,1
745727507743113237,wild wido tacos,30430,236,0,296,189100,0
746155509975089222,South Harbor,48050,3827,49,6015,9314000,1
746900471381491873,Dia,23815,300,13,301,23001010,1
750188900055515208,Tau Family Tacos Sdn Bhd,47050,1318,3,1415,114300000,1
753185416709931109,Tic Taco,21405,85,0,85,300000,.5
753220106028580914,Osu,47050,1222,0,1346,1784000,0
753484820033699940,Lucy Mapache uwu,35915,632,1,777,59810000,.75
754513008733978705,Tacoco hehe,35805,619,8,797,20000,1
754892980279836722,Llama Tacos,30115,89,0,93,940000,.75
757301448781594646,Andres Bonitacos,36470,312,7,344,2810000,.75
759031411251609620,hehe,33695,723,0,916,790000,.5
759761320546926694,CrIPPLING DEBT,13570,41,0,43,0,.5
760961417054257153,AuroraTacos,34785,632,0,691,2132020,.5
762366076398075914,Humble Crib,18085,129,0,175,390000,0
762526280435367986,Winner Winner Taco Dinner,47700,7841,467,14150,378736065,1
762618044740009984,mikewheeler,11900,196,20,279,85000,.5
765185064894988288,taco bell,46485,2706,7,3197,8761476,1
765653724776759316,the house of jess,27070,251,4,273,91000,.75
766708138224648193,best tacos in the city,42470,844,0,1233,107516676,.5
766921324786089984,That awesome taco place,47650,8156,166,12432,606170000,1
771902354815582268,Feelove Shack,20835,191,106,280,256000,1
773211460128997406,Horny Asada,31110,250,1,262,3355000,.75
775145885486678028,Random Tacos,30605,950,16,1164,1320000,1
776147923615612979,flowergam,33610,736,0,980,1410000,.5
